,tweet,label
70,@user Lets go SolRabbit !!!  @harisrisharis  @AdmAlfred  @adm_indolucu   #SolRabbit #Sol $SOLANA $SOL $RABBIT #Airdrop,nano
71,Verifying my transaction for @user on @user http tokens claim id: 686545082828  $SOL,nano
72,"RT @user Happy Easter! 🐰 Airdropping $SOL and WL spots to anyone who follow, retweets and drops their #Solana address! 🍫 http",nano
73,RT @user 50 lucky users will walk away with $10 $BUSD to kickstart our Twitter Spaces happening on August 14 at 11 AM UTC with @user,nano
74,"RT @user Airdropping 1.000.000 $SEAS for first 20.000 Participant, FCFS.   To participate: - Follow Us - Like &amp; Retweet this tweet -…",nano
75,"RT @user 💰2,500 $BNB &amp; 250,000 $BUSD for 2,500 Participants   👉 Complete the tasks below 1. Follow, RT PINNED &amp; Comment 2. Retweet…",nano
76,"RT @user Airdropping $RABBIT tokens for people completes following tasks:  Tasks: - Follow us - Like, RT and tag 3 friends - Join…",nano
77,"RT @user 💸 WIN $1000 $CRO 💸  To celebrate Ripae's #Cronos genesis distribution, we are launching a limited-time #giveaway.   To pa…",nano
78,@user Dm me! I have something for you🚀,mega
79,"@user Fine, you got me, this is amazing, shoot me a DM🚀📩",mega
80,@user Contact me. We need to talk about something amazing for the project. 🚀❤️,mega
81,@user I have the best proposal for you !! Contact me pls 📩📩,mega
82,@user @user Heyy! I have the BEST proposal here 🚀❤️ DM me pls ✉️ @user,mega
83,"@user Awesome! send me DM, let’s collaborate🚀🚀",mega
84,@user @user Lets talk about a big business for both. 😊,mega
85,"@user @user lol. yeah, so is everything wrong with the world. lololol. I think people need to take responsibility, not blame someone else.",macro
86,"@user Not the best one, but i do see it slightly. Probably a low probability based on that tiny right shoulder.",macro
87,"@user I'm not too worried about delisting. Then they just trade on the OTC market like Tencent already does or investors can switch their ADR shares into Hong Kong listed shares. The bigger threat is China helping Russia or Taiwan. But either way, im long BABA for now.",macro
88,@user @user That person isnt even a member. Trying to get trades for free and picking and choosing. Of course they will lose lol.,macro
89,@user Just down a little today. Actually doing better than i though. Really no big drop or big pop. Slightly negative.,macro
90,"@user Yes, a bear market rally. I still think there might be more upside first, but then new 52 week lows.",macro
91,@user @user @user Thanks Tim. Truly appreciated.,macro
92,@user I start inching in at the level shown.,macro
93,@user LOL that is the yearly package of our monthly service. Saves them 600/yr. So kinda smart. But what does that have to do with being right? LOLOLOLOL,macro
94,@user Back to 95-100,macro
95,👤 http,mega
96,RT @user Check out the new single from @user Sacrifice! 🔥 http,mega
97,It’s not over until it’s over,mega
98,Philip Gardner just donated towards the new album! Thank you Philip for your support! It means a lot 🙌🏻 http,mega
99,RT @user .@MissRaeNo9 just pledged once again towards the new album! ❤️ You are amazing! http,mega
100,RT @user Such an honor to have our single #levitation playing in all of these radio stations 🙌🏻 Thank you for the amazing response! htt…,mega
101,Don’t let anyone tell you what to believe in and don’t believe the first thing you see. Do your own research and come up with your own conclusions.,mega
102,The stars are the key,mega
103,There are brighter colors on the other side,mega
104,http,mega
105,@user @user @user @user @user @user Very soon,no influencer
106,"RT @user $ADA from trend line to trend line.   If $2 breaks, the market likely revisits the confluence of support at $1.   Bear…",micro
107,RT @user @user I see a potential Elliot wave pattern in majority of the alts including $eos $dash $bch !  I see completio…,micro
108,Truss got a lot better and the only real debate was between her and Sunak.   Belter from RS on Libdems or remain - but not taken lying down with Winchester burn back from LT.   But absolute slaying from Kemi to Sunak on covid fraud and a gift to Labour - gonna be v big row.,macro
109,Sir JVT in @user tomo: http,macro
110,RT @user England set up shot at stunning Second Test win as they tear through New Zealand http,macro
111,And came back with a star wars joke... 🤔 http,macro
112,EXC: Johnson to warn Russian coffins will pile high if Putin invades Ukraine - as PM seeks to bypass Kremlin propaganda with targeted viral blitz of a Russian language translation of his Munich speech tomorrow:    https://t.co/1DpcqHwFSu,macro
113,It’s all going a bit cult of St Jeremy.   Stress testing candidates’ records and literally writing down things they have said in the past is not a smear.   Nor is a paper trail that suggests they are not being straight with public.   This is contest to pick next PM.   Toughen up.,macro
114,A 'scoop' that was in Monday's Sun lol http,macro
115,PM: Russian invasion of Ukraine will be ‘bloodily resisted’ http,macro
116,Not a single British photographer or hack on the plane. All the footage coming from Ukrainian sources. http,macro
117,@user Es cine broooo,mega
118,RT @user If you're watching all of this @user drama and not drawing the conclusion that this is bullish for competing NFT marketp…,micro
119,@user @user @user Ignorant comment brother. ApeUSD is the same as $DAI and MakerDAO not $LUNA. HODL your $APE because @user is creating utility and value for it.,micro
120,"It’s Elon/Yuga/BAYC, $APE @user and $DOGE vs Mark/@Meta now. http",micro
121,"RT @user If you missed $BTC in 2009 or Ethereum $ETH in 2015, do not miss $APE in 2022 🦍🍌",micro
122,All good. Web3. Token&gt;equity. $APE is where the value accrues. Check $UNI $MKR $COMP http,micro
123,RT @user Claim page for crETH2 / USDC is live at http crETH2 depositors can return $CREAM to the protoc…,micro
124,RT @user $APE coin will flip $DOGE coin!!!   #BAYC 🦍,micro
125,@user Yeah the $APE @user part is fungible just like $DOGE only…,micro
126,"RT @user 🚨$10,000 GIVEAWAY! 💸  Join the Sol Saiyan discord to learn more!  Releasing collection Dec. 4th🎉  ✅ Follow @user",mega
127,It is the opportunity to join this disruptive metaverse @user you know it's coming? ...🚀🚀🚀  The PRE-SALE on February 27 🗓️at 2:00 p.m. EST 🔥  🌐 GET your Novatar at ⚡ http #nftpfp #twitterblue #NFTCommunity http,mega
128,@user @user nice project 🔥 DM me I have a business proposal for you 💎,mega
129,@user let's go @user 🔥 DM me I have a business proposal for you 💎,mega
130,@user to the moon 🌕 DM me I have a business proposal for you 💎,mega
131,RT @user GameVerse listed on CG &amp; CMC within 24 hours!   P2E mini-game already live with a new one coming out every week! A huge g…,mega
132,RT @user 🥁 🚀Raising the curtains on our #Solana APIs.  ⚡️Experience the #fastest APIs to match the 🏃🏃ever fast @user Blockchain.  👉…,mega
133,RT @user 🥳 SolaJump Presale Giveaway 🥳  3 SOL (~720$)  🏆 To Win:  1️⃣Follow us: @user 3 Friends &amp; RT this post 3️⃣Join Di…,mega
134,@user hey your project seems amazing! DM me I have a business proposal for you 💎,mega
135,@user @user @user @user @user @user @user heyy! I have a business proposal for you 💎,mega
136,http,macro
137,http,macro
138,http,macro
139,http,macro
140,http,macro
141,RT @user Mike &amp; Dustin always sticking together...🎲🔥📺 #StrangerThings4 http,macro
142,http,macro
143,http,macro
144,http,macro
145,RT @user http,macro
146,"But if you don't manage risk, you lose either way. The degen/ape mentality is fun but unless you control it, it reks you. Or you know, you could always ape in to a $SHIB and get really lucky 🤷‍♀️ But let's not pretend that's how it goes the majority of the time.",micro
147,"RT @user Julian Assange's brother speaks to @user ahead of expected ruling in #Assangecase, and the 'totally lopsided extraditi…",mega
148,"The Court must consider “the large and cogent body of extraordinary and unprecedented evidence…that the CIA has declared Assange as a ‘hostile’ ‘enemy’,” &amp; the CIA, which plotted to kill him, is the agency to determine his prison conditions #Assangecase #CIA http",mega
149,The CIA plan to assassinate Julian Assange | CBS News #FreeAssangeNOW @user http,mega
150,"WikiLeaks Editor-in-Chief Kristinn Hrafnsson: “Julian’s life is once more under grave threat, and so is the right of journalists to publish material that governments and corporations find inconvenient #FreeAssangeNOW http http",mega
151,"""How can it be fair, how can it be right, how can it be possible, to extradite Julian Assange to the very country which plotted to kill him?"" Assange Fiancee/ Lawyer @user #FreeAssangeNOW  https://t.co/3cEajVULnO http",mega
152,UK National Union of Journalists demands release of award winning journalist and publisher Julian #Assange as CIA kill-kidnap plans are widely reported | @user #FreePress Link: http http,mega
153,RT @user The report on the 2017 murder of journalist #DaphneCaruanaGalizia in #Malta speaks clear language: the State did not recogni…,mega
154,"Australian special forces in Afghanistan shot unarmed men, children then covered it up in ten incidences #Afghanistan  https://t.co/goP966ZxvI",mega
155,RT @user Sign &amp; share @user #FreeAssange petition calling on UK Home Secretary Priti Patel to deny extradition before 18 May:…,mega
156,RT @user Full page ad in yesterdays Metro - the UK's highest-circulation print newspaper - on third anniversary of Julian Assange arr…,mega
157,💰  Wanna win HARD CASH ?🥳 Welcome to my RAFFLE🚀 120 tickets✅️ $1 USDT per ticket🏆 Prize $100 $USDT 🏆🎖 1 winner🔥  Buy a…,no influencer
158,@user @user $Eth lagging,nano
159,@user Is it a possibility market makers have been pulling liquidity out of $AMC the last couple of days to fund $Ape ? I checked short exempts yesterday and they weren't that high compared to the SP drop. So it's either being shorted with options or my first statement is true.,nano
160,@user @user @user This only exposes how badly they want us to sell our $APE. Diamond hand your $APE shares Apes💎💎🦍🦍,no influencer
161,"@user Admit you were wrong for selling $APE. Then all is good. If not, good luck lol",no influencer
162,@user I'm so fucking JACKED!!! LFG!! $AMC $APE,no influencer
163,@user $APE will fucking SAVE Billy,no influencer
164,@user You convinced me bruh. I'm going to wake up early in the morning and spend $96 on $AMC and $APE. Thanks 🤡😂😂,no influencer
165,"@user @user Oh man when $APE squeezes, it's going to melt faces!!! Rocket fuel for $AMC",no influencer
166,@user Make it rain Elsa!! There is going to be a lot more to dance to starting next week $APE!!🔥💪💪,no influencer
167,@user One of the first true OG hype videos. I fucking love it. I am loaded up on AMC and GME. I think $APE is about to set this whole 🔥🔥 off!!,no influencer
168,@user They want you to sell $APE,no influencer
169,@user Thanks. Bought more $APE,no influencer
170,"@user @user in peak bull that is like top 50 coins, which is possible",macro
171,"@user is here to disrupt the adult industry &amp; combine adult industry with #blockchain technology🌟  The 18+ industry is a massive untapped real world market, with over a $100B valuation⚧️  $TIP is the future, Now @user Invest for long term gains💸  #Crypto #BSC #TIP",macro
172,"➡️This is why I’m so bullish on $FLUX  ➡️To be fully decentralized, blockchains &amp; their ecosystems🌐 need to run on  #Web3 decentralized infrastructure💹  ➡️Flux is flexing✅ big time right now +38% now on @user either way my money is on @user #Trending #crypto",macro
173,@user $TIP cause they are working on real-world use cases and optimization of the adult entertainment industry! @SugarBounceNSFW,macro
174,"RT @user 📢 1 DAY TO GO 📢  ❤️‍🔥 Enjoy access to #decentralized NSFW #streaming and the most #stellar cam stars, like never seen…",macro
175,"$KAVA is performing better towards upward trend, especially in a bear market✅  @kava_platform is the safest place to earn with your crypto which has institutional-grade safety &amp; reliability 🌐  #KAVA is gearing up for the massive pump🚀  Price : $1.99💰  #Trending #Crypto #BTC http",macro
176,RT @user I am sure with inevitable resurgence of #DeFi and increase in hacks/exploits in #Crypto @user is bound to be necessary…,macro
177,👽@AlienWorlds is a #DeFi #NFT #Metaverse where you can collect &amp; play with unique digital items🌐  👽$TLM making what is close to a bullish butterfly✅  👽Buy now at 0.02$ &amp; keep on your watchlist for gaining momentum 🚀  #TLM #MoonSoon #Blockchain #Crypto #HODL #BTC #ETH #BNB http,macro
178,"I would suggest you to invest all in acquiring $FIS of @user   #FIS has currently broken through resistance at $0.46 &amp; has gained 57% in the last 24 hours, Making it super bullish🚀  Buy now @ 0.41 on @user #FISUSDT #Altcoins #CryptoNews #CryptocurrencyNews http",macro
179,"👉$CAKE real price shall come out soon, I shall see a new ATH💹 in coming days!  👉I Suggest you to fill up your bags💰 with #CAKE, @user will see a huge pump in the coming days🔮  #BuyTheDip #Crypto #pancakeswap",macro
180,Digital #currency gains more presence in #India as Indian finance minister Nirmala Sitharaman announces the launch of  CBDC by 2022-23 as means to boost country’s economic growth. Income from transfer of any virtual digital asset shall be taxed at the rate of 30%.  #cryptoindia,macro
181,SHIBA INU movement is unpredictable as it ranges currently. Will the sleeping lion rise anytime soon? $0.000054 and $0.000060 are accumulation zone for traders who look to trade long.   #SHIBUSDT #memecoin #DYOR #cryprotraders #dogekiller #cryptolovers #pandaishere #altcoin http,macro
182,"In Crypto, we Trust.  #cryptoindia #NirmalaSitharaman #Bullish http",macro
183,"ETH price area at $2,929-$2,858 #support is a good entry point to join the trend upward as price revisits this area for a retest and target will be #resistance at $3,180 area. If this area doesn't hold, price will drop towards $2,661-$2,557 area for more liquidity. #ETHUSDT http",macro
184,Drop in price volume is visible as #SHIBAINU makes a sharp drop towards the support zone of $0.00006430. If price drops further next resistance is at $0.00005776. Likely reaction area is either of the two.   #SHIBUSDT #shibainu #chartpanda #pandincrypto #DYOR #dips #lovecrypto http,macro
185,"Don't forget to add this gem 💎 ~ @user to your portfolio as it got listed on @user &amp; @user 👀  With an initial MCap of 66k &amp; price ~ $1.25 , #CGAZ will surely touch sky !  https://t.co/m1dVPlpn7F",macro
186,"Ah! Another game from @user ✨ Is it going to better than 1st? Whatever, I'm still gonna play 🏆 ~ $10,000 Worth of rewards. http",macro
187,The @user will turning the game on and may fulfil fantasies of playing around with Decendant of Narca &amp; Raymond like characters that are available in diff levels.  Investors can stake &amp; earn APY while gamers can game &amp; earn.  Upgrade &amp; IGO platform coming LFG $GEMG 🚀,macro
188,"Let me know what do you guys think about the @user  The IDO is approaching in February, IMO this could be moonshot because of the fundamental aspects and SDK hosting mechanism 🔥  Alliance with @user 📊 $VISION  Try it 👀 http",macro
189,"Polkadot was the most commonly held #altcoin in Q4, 2022. Around 42% of venture capital and hedge funds investing in crypto are betting on the success of #Polkadot’s smart contracts platform.#DOT is currently the 11th largest #cryptocurrency with a market cap of US$18.7 billion. http",macro
190,"AMC Theatres is considering adding Shiba Inu $SHIB as payment for ticket purchases, CEO confirms.",mega
191,RT @user I'm convinced now more than ever that I need more #bitcoin.,mega
192,"Gotta legit give credit to @user Entire social media game (TikTok, YouTube, Instagram) is on point.  More need to adapt like this. 👍",mega
193,How much #ethereum would you buy if it dropped to $100?,mega
194,I met someone w 3-4 @user last night. He is just an average guy killing it in the #NFT game. Really cool to see!,mega
195,Very excited about #crypto this year. 😎,mega
196,@user @user @user needs to answer to you about this.,mega
197,What advice would YOU give a new #cryptocurrency investor?  Watch ASAP 👇 &gt;&gt; http http,mega
198,Only 12.9% of $BTC supply remains on exchanges 👀  cc: @user http,mega
199,RT @user #earnings for the week   https://t.co/lObOE0dgsr   $TSLA $AAPL $MSFT $BA $INTC $JNJ $HAL $T $GE $VZ $IBM $AXP $LMT $FCX $MMM…,nano
200,"RT @user EXCLUSIVE: .@Bakkt Holdings CEO, Gavin Michael Says Co Is Well Capitalized, Says 'We Finished Our Q3 With $355 Million…",nano
201,RT @user #earnings for the week   https://t.co/lObOE0dgsr   $MU $NKE $WBA $BBBY $GIS $POWW $XAIR $PAYX $SNX $MKC $MSM $STZ $TNP $CNXC…,nano
202,$QS huge move this week $RNAZ $CEI very strong $SNMP pushing several reversing setups worth watching $ROOT $WISH $SKLZ $SOL $WPG and $JMIA which had inside buy activity few days ago http,nano
203,"RT @user $1mil in $LUNA 3 days ago would be worth $1,746 right now  This is one of the craziest things I've ever witnessed...",nano
204,RT @user #earnings for the week   https://t.co/lObOE0dgsr   $NVDA $PLTR $SHOP $RBLX $UPST $ROKU $TTD $DKNG $WMT $ABNB $CROX $MAR $AMA…,nano
205,RT @user weekly #earnings    https://t.co/lObOE0dgsr   $AAPL $AMZN $GOOGL $MSFT $META $SHOP $UPS $BA $XOM $KO $F $ROKU $TLRY $GM $QCO…,nano
206,RT @user #earnings for the week   https://t.co/lObOE0dgsr   $CHPT $GME $LULU $CHWY $COST $AZO $RH $SAIC $LOVE $AVGO $DLHC $PATH $COUP…,nano
207,"$CTEX nice and pushing  $YQ trying $SUNW $SOL moving up  $SMIT low float name out with PR this morning, may get going  $MITQ maybe ready, bottom daily, chart has the looks  $IINN $IRNT $CXDC http",nano
208,RT @user #earnings for the week   https://t.co/lObOE0dgsr   $PLTR $UPST $SOFI $DIS $RBLX $AMC $OXY $TTD $PTON $BNTX $COIN $TSN $NCLH…,nano
209,"RT @user This is one of the first @user #GACC's i got 2 months ago, this ""stoned DMT stunt helmet"" costed me 0.28 #eth (abo…",nano
210,"RT @user Sold my #MAYC for 40ETH, got that as free airdrop  As promised, I’ll give $20,000 (cash or $ETH) to a random person wh…",nano
211,"RT @user Drop your $ETH wallet, RT &amp; Follow @user   Gonna surprise a few supporters! 🚀👀",nano
212,RT @user You know what? We can do better than just a mega-1st Half 2022 Roadmap.  How about...  @AaveAave on $METIS!!!  Snapshot propo…,nano
213,"RT @user If you aren’t buying $ETH right now, there is no help for you 🤷",nano
214,RT @user Listed a few of my $ENS on Opensea.   I wonder which word/number #ENS sells first? http,nano
215,RT @user @user is part of Ethereum’s long term scaling solution 🌿🚀  $METIS $ETH http,nano
216,RT @user Drop your $ETH wallet address ! I will send to 5 people 0.5 #ETH with 5 Free #NFT You must  Follow &amp; RT | 24 hours⏲️,nano
217,RT @user I have some $ETH in your wallet💸💸💸  What do people think would be the move?🤔  @0xApes_NFT @user @user,nano
218,RT @user Infinite Charity Project's first NFT project will be unveiled on October 1.  #ICProject @user @user @user,nano
219,RT @user @user Look at $EGLD  Its mooning!!!😍⚡,macro
220,"RT @user $VRAR everything looks great RSI and news, we have a resistance at $10.26, if we close above it, next days will be awesome. J…",macro
221,$LTRY loaded with shorts and funds ( who do deeper research than video gamers turned accounting analysts on twitter) buying in ( see below 813k share position) combined with soon end of quiet period and rocekt fuel has been added ? http,macro
222,RT @user @user Gotta embrace that change!,macro
223,$MILC $1.25 Alert 100% gainer - Links to my http service !!! Daily Focus Lists &amp; (cont) http,macro
224,"After a slow return to cinema-going after the Covid-19 pandemic, the film business will be hoping for a boost on the French Riviera when the 75th edition of Cannes film festival returns from May 17 to 28  https://t.co/VwmGy5KkFG",mega
225,The call on Indian companies to explore buying the BP stake in Rosneft came after BP CEO Bernard Looney met Indian oil minister Hardeep Singh Puri in March https://t.co/1nwnrf9a4U,mega
226,"Girish Mathrubootham, @user a chess fan himself, asks a question to Viswanathan Anand, @user  Find out what it was, and what he learnt from the chess grandmaster  #FILA2022 http",mega
227,".@onerarenft, an NFT economy game that is bringing the global food industry to Web3 was born out of a simple question cofounders @user &amp; @user tried to answer:“Why can’t we build something simple just like French fries?"" | By @user http",mega
228,"NFTs have been lately been garnering a lot of attention from investors, as well as artists and creators. While they have begun shaping modern-day culture, how does one assess its value and worth? Learn more on #CryptoMadeEasy with @user and @user   #partnered http",mega
229,"The 4th industrial revolution"" speaks to the fusion of the physical and biological worlds. It merges artificial intelligence, robots, quantum computing, and other technologies. Join us to know more about @user India on Cloud, powered by @user #partnered http",mega
230,@user @user @user,mega
231,On today's Tech Briefing 🎙️   • Okta cyberattack may have affected hundreds of clients • Oxyzo raises $200 mln • @user elected to RSE (@RoyalSocEd)  By @user  https://t.co/WXYnELWXHI,mega
232,"The short-term experience of performing tasks by choice and getting paid immediately is gratifying. However, there may be less apparent long-term consequences, warns @user",mega
233,".@chakrigade, co-founder of Country Delight, says the company wants to continue to build a solid product line, a full-stack supply chain, and be a brand that consumers would want to add to their cart and recommend to others   By @user  https://t.co/JQrTZ1QNwj",mega
234,"RT @user $MATIC  Expecting a new candle close in the same demand zone from where it bounced, about $0.29-0.35 http",micro
235,RT @user $ADA http,micro
236,"RT @user $CRO  Getting more information now. It could take the 2020 low, below 0.055 http",micro
237,"RT @user $ADA  Hidden bearish div on htf, another lower high.  Confluence at $0.27-0.30 http",micro
238,@user 👌,macro
239,@user @user $cult,macro
240,@user GM,macro
241,@user @user Moon,macro
242,@user @user Great,macro
243,RT @user @user hits 10 million TVL in under 96hrs from launch!🚀🚀  Enjoy 0.02% swap fees on stablecoins and 11% daily on th…,nano
244,RT @user 🎊 #SOLGiveaways 🎊  🎁: 1 x $sol     ( 45 $ )  Rules: 1⃣Follow @user &amp; @user &amp; ❤️ 3️⃣Tag frieds  ⏳48 H…,nano
245,Less than 5 days left to register! 👏 Prize pool of up to 100 BTC up for grabs when you join the #BybitGames #BTCBrawl ⏳Registrations open till 28/11 (9am UTC)! http,mega
246,"🦈 Swim Ahead With #Bybit Shark Fin and Grab a Share of a 10,000 $USDT Prize Pool!  ⏰ Subscription is open from now till Sep. 2, 2022, 8AM UTC  👉🏻 Learn more here: http Subscribe now: http http",mega
247,Just in: @user just won the first-ever WBC Crypto Belt 🔥  #cryptofightnight2021 #hitharder http,mega
248,normal people: let’s open a bar tab and watch the #EURO2020 match here  me trying to converse: the #Bitcoin lightning network is a like a bar tab that only settles when you wind it down,mega
249,- Please manage your position accordingly as your liquidation price may be affected.,mega
250,"@user @user @user @user Hey Ma Zi Pu, can you let us know when did this happened?",mega
